folder_name,relative_path,depth,direct_file_count,total_file_count_recursive,direct_subfolder_count
alinebrito_623030845357643,your_instagram_activity\messages\inbox\alinebrito_623030845357643,4,1,1,0
alinemartinssilvasouza_1223743072353727,your_instagram_activity\messages\inbox\alinemartinssilvasouza_1223743072353727,4,1,1,0
alinequirinoadvogadatrabalhistaempresarial_1084068046321231,your_instagram_activity\messages\inbox\alinequirinoadvogadatrabalhistaempresarial_1084068046321231,4,1,2,1
photos,your_instagram_activity\messages\inbox\alinequirinoadvogadatrabalhistaempresarial_1084068046321231\photos,5,1,1,0
allinecabraldossantos_1477070433687655,your_instagram_activity\messages\inbox\allinecabraldossantos_1477070433687655,4,1,1,0
alovisi_1735538887840807,your_instagram_activity\messages\inbox\alovisi_1735538887840807,4,1,1,0
altaperformancesemexaustao_1914119019982792,your_instagram_activity\messages\inbox\altaperformancesemexaustao_1914119019982792,4,1,1,0
alugueldegalpoesgoias64_1837061584355203,your_instagram_activity\messages\inbox\alugueldegalpoesgoias64_1837061584355203,4,1,1,0
alvaroaugustosimoes_1822308885830473,your_instagram_activity\messages\inbox\alvaroaugustosimoes_1822308885830473,4,1,1,0
amaralemeloadvogadosjuridiconoagro_1206754257385942,your_instagram_activity\messages\inbox\amaralemeloadvogadosjuridiconoagro_1206754257385942,4,1,1,0
amatrv_954001049327932,your_instagram_activity\messages\inbox\amatrv_954001049327932,4,1,1,0
ampereenergias_1660417718688688,your_instagram_activity\messages\inbox\ampereenergias_1660417718688688,4,1,1,0
amtrioverde_1828989601829068,your_instagram_activity\messages\inbox\amtrioverde_1828989601829068,4,1,1,0
anacarolinamartins_489778618774288,your_instagram_activity\messages\inbox\anacarolinamartins_489778618774288,4,1,1,0
anaclaudiachaveslira_1788081949253167,your_instagram_activity\messages\inbox\anaclaudiachaveslira_1788081949253167,4,1,1,0
anagabriellycarvalho_1798702288191133,your_instagram_activity\messages\inbox\anagabriellycarvalho_1798702288191133,4,1,1,0
analuizadelimaguimaraes_1812385660156129,your_instagram_activity\messages\inbox\analuizadelimaguimaraes_1812385660156129,4,1,1,0
anamariacintra_1689649222429774,your_instagram_activity\messages\inbox\anamariacintra_1689649222429774,4,1,1,0
anapaulaazevedo_1706254714102558,your_instagram_activity\messages\inbox\anapaulaazevedo_1706254714102558,4,1,1,0
anapaulabarbosaandrade_470766870984688,your_instagram_activity\messages\inbox\anapaulabarbosaandrade_470766870984688,4,1,1,0
anapaulacintra_925180795543291,your_instagram_activity\messages\inbox\anapaulacintra_925180795543291,4,1,1,0
anapaulagodinhoinvesttcorretoradeseguros_1113205506740818,your_instagram_activity\messages\inbox\anapaulagodinhoinvesttcorretoradeseguros_1113205506740818,4,1,1,0
anarosabueno_554372142624160,your_instagram_activity\messages\inbox\anarosabueno_554372142624160,4,1,1,0
anavarela_1830191398378077,your_instagram_activity\messages\inbox\anavarela_1830191398378077,4,1,1,0
andersonlima_1745098390218190,your_instagram_activity\messages\inbox\andersonlima_1745098390218190,4,1,2,1
audio,your_instagram_activity\messages\inbox\andersonlima_1745098390218190\audio,5,1,1,0
andreiasantoscuradoradeinvestimentosimobiliarios_808900967171275,your_instagram_activity\messages\inbox\andreiasantoscuradoradeinvestimentosimobiliarios_808900967171275,4,1,1,0
andressamascarello_1969458747782152,your_instagram_activity\messages\inbox\andressamascarello_1969458747782152,4,1,1,0
andressamelo_1178831983511503,your_instagram_activity\messages\inbox\andressamelo_1178831983511503,4,1,1,0
andressaquinelliseguroseconsorcios_1618441532883877,your_instagram_activity\messages\inbox\andressaquinelliseguroseconsorcios_1618441532883877,4,1,1,0
andrielefreire_1204785997582768,your_instagram_activity\messages\inbox\andrielefreire_1204785997582768,4,1,1,0
anielemonteiro_1792140615513967,your_instagram_activity\messages\inbox\anielemonteiro_1792140615513967,4,1,1,0
annacarolinafonsecabailoni_1813200193408009,your_instagram_activity\messages\inbox\annacarolinafonsecabailoni_1813200193408009,4,1,1,0
annamarquez_1851090079619020,your_instagram_activity\messages\inbox\annamarquez_1851090079619020,4,1,1,0
antoniodelascuevas_1647998866594810,your_instagram_activity\messages\inbox\antoniodelascuevas_1647998866594810,4,1,1,0
aplausoaudiovisual_508412217220815,your_instagram_activity\messages\inbox\aplausoaudiovisual_508412217220815,4,1,1,0
aporterural_1659481095446587,your_instagram_activity\messages\inbox\aporterural_1659481095446587,4,1,1,0
arandumicroverdes_1808484473879581,your_instagram_activity\messages\inbox\arandumicroverdes_1808484473879581,4,1,1,0
arthemisalins_1727028595358503,your_instagram_activity\messages\inbox\arthemisalins_1727028595358503,4,1,1,0
arthurguilianeferreira_1205617667499601,your_instagram_activity\messages\inbox\arthurguilianeferreira_1205617667499601,4,1,1,0
arturito_1220676405993727,your_instagram_activity\messages\inbox\arturito_1220676405993727,4,1,1,0
arturpagnoncelli_1720264146034948,your_instagram_activity\messages\inbox\arturpagnoncelli_1720264146034948,4,1,1,0
aryanasantiago_1706408390753857,your_instagram_activity\messages\inbox\aryanasantiago_1706408390753857,4,1,1,0
aso_500948914633150,your_instagram_activity\messages\inbox\aso_500948914633150,4,1,1,0
associacaogarvgo_1932830544778306,your_instagram_activity\messages\inbox\associacaogarvgo_1932830544778306,4,1,1,0
associativismonetworkesgempreendedorismo_1486775319383833,your_instagram_activity\messages\inbox\associativismonetworkesgempreendedorismo_1486775319383833,4,1,1,0
atacadaodotijoloceramicabomjardim_1777298000331562,your_instagram_activity\messages\inbox\atacadaodotijoloceramicabomjardim_1777298000331562,4,1,1,0
aterapeuticafarmaciademanipulacao_1853821942679167,your_instagram_activity\messages\inbox\aterapeuticafarmaciademanipulacao_1853821942679167,4,1,1,0
athusbarques_1834869607907734,your_instagram_activity\messages\inbox\athusbarques_1834869607907734,4,1,1,0
aureacomunicacao_1768115214583174,your_instagram_activity\messages\inbox\aureacomunicacao_1768115214583174,4,1,1,0
autopecaspiloto_497269688341284,your_instagram_activity\messages\inbox\autopecaspiloto_497269688341284,4,1,1,0
avmadministradora_1630945264966837,your_instagram_activity\messages\inbox\avmadministradora_1630945264966837,4,1,1,0
azullocacoes_1847768699951158,your_instagram_activity\messages\inbox\azullocacoes_1847768699951158,4,1,1,0
basfsolucoesparaagricultura_1775526503842045,your_instagram_activity\messages\inbox\basfsolucoesparaagricultura_1775526503842045,4,1,1,0
baterautobateriasrioverdesantahelena_1800962461298449,your_instagram_activity\messages\inbox\baterautobateriasrioverdesantahelena_1800962461298449,4,1,1,0
bateriasluxfor_1788318199229542,your_instagram_activity\messages\inbox\bateriasluxfor_1788318199229542,4,1,1,0
bdgja1eja2_1772031934198716,your_instagram_activity\messages\inbox\bdgja1eja2_1772031934198716,4,1,1,0
